Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,ReportDate,OffenseCount
12100 BLOCK OF NE SAN RAFAEL ST,21-156722,Society,Parkrose Heights,6/9/21,2141,Weapon Law Violations,Weapons Law Violations,45.53725861,-122.5381947,6/9/21,1
12100 BLOCK OF SE HENDERSON DR,21-22045,Society,Pleasant Valley,1/24/21,1647,Weapon Law Violations,Weapons Law Violations,45.46971011,-122.5370707,1/24/21,1
12100 BLOCK OF SE MORRISON ST,21-73404,Society,Mill Park,3/19/21,730,Weapon Law Violations,Weapons Law Violations,45.51690167,-122.538186,3/19/21,1
12200 BLOCK OF NE SISKIYOU ST,21-214085,Society,Russell,8/4/21,5,Weapon Law Violations,Weapons Law Violations,45.5444411,-122.5369611,8/4/21,1
12300 BLOCK OF NE HALSEY ST,21-12506,Society,Russell,1/4/21,1346,Weapon Law Violations,Weapons Law Violations,45.5336067,-122.5361976,1/14/21,1
12300 BLOCK OF NE HALSEY ST,21-24443,Society,Russell,1/12/21,1000,Weapon Law Violations,Weapons Law Violations,45.5336067,-122.5361976,1/27/21,1
12300 BLOCK OF NE HALSEY ST,21-143226,Society,Russell,5/18/21,1759,Weapon Law Violations,Weapons Law Violations,45.5336067,-122.5361976,5/27/21,1
12300 BLOCK OF NE HALSEY ST,21-153596,Society,Russell,6/6/21,1657,Weapon Law Violations,Weapons Law Violations,45.5336067,-122.5361976,6/6/21,1
12300 BLOCK OF NE HALSEY ST,21-158412,Society,Russell,6/11/21,1714,Weapon Law Violations,Weapons Law Violations,45.5336067,-122.5361976,6/11/21,1
12300 BLOCK OF SE BUSH ST,21-28615,Society,Powellhurst-Gilbert,1/31/21,2358,Weapon Law Violations,Weapons Law Violations,45.49440736,-122.5358575,1/31/21,1
12300 BLOCK OF SE STARK ST,21-236699,Society,Hazelwood,8/25/21,1545,Weapon Law Violations,Weapons Law Violations,45.51907672,-122.5362073,8/25/21,1
12600 BLOCK OF SE POWELL BLVD,21-97369,Society,Powellhurst-Gilbert,4/11/21,2130,Weapon Law Violations,Weapons Law Violations,45.49718604,-122.5329454,4/11/21,1
12600 BLOCK OF SE RHONE ST,21-6149,Society,Powellhurst-Gilbert,1/7/21,1601,Weapon Law Violations,Weapons Law Violations,45.4956246,-122.5332757,1/7/21,1
13500 BLOCK OF SE POWELL BLVD,21-62745,Society,Powellhurst-Gilbert,3/8/21,1821,Weapon Law Violations,Weapons Law Violations,45.49772827,-122.523992,3/8/21,1
13500 BLOCK OF SE STEELE ST,21-90417,Society,Powellhurst-Gilbert,4/5/21,35,Weapon Law Violations,Weapons Law Violations,45.48467443,-122.5239912,4/5/21,1
13600 BLOCK OF SE POWELL BLVD,21-29589,Society,Powellhurst-Gilbert,2/2/21,132,Weapon Law Violations,Weapons Law Violations,45.4979896,-122.5230182,2/2/21,1
13600 BLOCK OF SE POWELL BLVD,21-225528,Society,Powellhurst-Gilbert,8/14/21,2002,Weapon Law Violations,Weapons Law Violations,45.4979896,-122.5230182,8/14/21,1
13800 BLOCK OF NE GLISAN ST,21-83143,Society,Hazelwood,3/29/21,110,Weapon Law Violations,Weapons Law Violations,45.52640696,-122.5213181,3/29/21,1
13900 BLOCK OF NE SANDY BLVD,21-207647,Society,Argay,7/2/21,2331,Weapon Law Violations,Weapons Law Violations,45.55412167,-122.5202434,7/26/21,1
14000 BLOCK OF NE SANDY BLVD,21-39894,Society,Argay,2/12/21,2348,Weapon Law Violations,Weapons Law Violations,45.55400371,-122.5196183,2/13/21,1
14100 BLOCK OF SE CENTER ST,21-166708,Society,Centennial,6/19/21,2249,Weapon Law Violations,Weapons Law Violations,45.49328944,-122.5171165,6/19/21,1
14600 BLOCK OF SE HARRISON ST,21-104450,Society,Centennial,4/18/21,1927,Weapon Law Violations,Weapons Law Violations,45.50884064,-122.5131621,4/18/21,1
14600 BLOCK OF SE TENINO ST,21-229419,Society,Pleasant Valley,8/7/21,19,Weapon Law Violations,Weapons Law Violations,45.46341534,-122.5123954,8/18/21,1
